CD,Gore,Bush '00,Kerry,Bush '04,Obama 2008,McCain 2008,Obama 2012,Romney 2012,"Clinton
2016","Trump
2016"
NY-08,87,11,84,15,86,14,89.2,10.2,84.6,13.5
NY-09,75,21,74,25,84,15,85.2,13.9,83.5,14.4
NY-10,74,18,72,27,76,23,73.6,25.1,78.3,18.8
NY-11,67,30,56,44,48,51,51.6,47.3,43.8,53.6
NY-12,88,8,86,13,80,19,76.9,21.5,83.3,13.5
NY-13,83,9,86,13,93,6,94.6,4.6,92.3,5.4
NY-14,77,15,80,19,76,23,80.7,18.3,77.7,19.8
NY-15,52,44,45,55,95,5,96.7,3,93.8,4.9
NY-16,70,23,74,25,73,26,73.7,25.5,75.1,22.5
NY-17,87,7,90,9,58,41,57.1,41.9,58.6,38.4
NY-18,92,5,89,10,52,47,51.4,47.1,47.1,49
NY-19,69,27,67,33,53,45,52.1,45.9,43.7,51
NY-20,58,39,58,42,58,40,59.2,38.8,54,40.5
NY-21,47,49,45,54,52,47,52.2,46.1,40,53.9
